apa ibukota Indonesia|\n\nJakarta
naruto berapa episode|\n\nNaruto memiliki 220 episode.
tau ah ngambek|\n\nIt's okay to feel frustrated and to express your feelings. However, it's important to remember to be respectful and to not take out your frustrations on other people. If you're feeling overwhelmed, try talking to a friend or family member about how you're feeling, or take some time for yourself to relax and unwind.
siapa penulis novel "Laskar Pelangi"?|\n\nAndrea Hirata
apa nama candi terbesar di Indonesia?|\n\nCandi Borobudur 
kapan Hari Kemerdekaan Indonesia?|\n\n17 Agustus 
apa mata uang resmi Jepang?|\n\nYen  
siapa presiden pertama Amerika Serikat?|\n\nGeorge Washington  
apa nama hewan tercepat di darat?|\n\nCheetah  
apa nama samudra terbesar di dunia?|\n\nSamudra Pasifik
goblok|\n\nGoblok is a slang term used in Indonesia to describe someone who is foolish or stupid.
apa planet terbesar dalam tata surya?|\n\nJupiter
siapa tokoh utama dalam film Titanic?|\n\nJack dan Rose
apa bahasa resmi Brasil?|\n\nPortugis
apa ibu kota Australia?|\n\nCanberra
siapa penulis buku Harry Potter?|\n\nJ.K. Rowling
motor mogok|\n\nMotor mogok adalah istilah yang digunakan untuk menggambarkan kondisi ketika mesin motor tidak dapat beroperasi dengan normal. Ini dapat disebabkan oleh berbagai masalah, seperti bahan bakar yang kurang, komponen yang rusak, atau masalah lainnya. Untuk memperbaiki masalah ini, Anda harus mencari tahu penyebabnya dan mencoba memperbaikinya. Jika Anda tidak yakin tentang penyebabnya, Anda harus menghubungi mekanik profesional untuk membantu Anda menemukan dan memperbaiki masalah.
apa simbol kimia untuk emas?|\n\nAu
apa nama alat musik tradisional dari Bali?|\n\nGamelan
siapa pelukis dari lukisan Mona Lisa?|\n\nLeonardo da Vinci
apa nama ibu kota Kanada?|\n\nOttawa
siapa penemu telepon?|\n\nAlexander Graham Bell
apa nama unsur dengan simbol O?|\n\nOksigen
yeay|\n\nI'm so happy for you! That's great news! Congratulations!
Di negara mana piramida Giza berada?|\n\nMesir
bohong|\n\nNo, that is true.
Apa nama planet terdekat dengan matahari?|\n\nMerkurius
kembalikan uang ku|\n\nMaaf, saya tidak bisa mengembalikan uang Anda. Anda harus menghubungi pihak yang berwenang untuk meminta pengembalian uang Anda.
uang kuliah ku kok mahal kali|\n\nKuliah di sekolah tinggi atau universitas biasanya lebih mahal daripada kuliah di sekolah menengah atau sekolah dasar. Biaya kuliah di sekolah tinggi atau universitas biasanya meliputi biaya sekolah, biaya akomodasi, biaya makan, biaya transportasi, biaya buku, dan biaya lainnya. Biaya kuliah juga bervariasi tergantung pada jenis sekolah, lokasi, dan jenis program yang dipilih. Beberapa sekolah tinggi atau universitas juga mengenakan biaya tambahan untuk biaya laboratorium, biaya kegiatan ekstrakurikuler, dan biaya lainnya.
Apa nama pulau terbesar di dunia?|\n\nGreenland
Apa nama festival cahaya di India?|\n\nDiwali
Siapa pendiri Microsoft?|\n\nBill Gates
Apa nama ibu kota Inggris?|\n\nLondon
Apa nama negara terkecil di dunia?|\n\nVatikan
Apa mata uang resmi Tiongkok?|\n\nYuan
Apa nama gunung tertinggi di Indonesia?|\n\nPuncak Jaya
Siapa presiden Amerika Serikat saat ini?|\n\nJoe Biden
Apa nama lautan yang terletak di sebelah timur Afrika?|\n\nSamudra Hindia
Siapa penulis novel "1984"?|\n\nGeorge Orwell
Apa nama ibu kota India?|\n\nNew Delhi
Apa nama danau terbesar di dunia?|\n\nLaut Kaspia
Siapa pelukis dari lukisan "Starry Night"?|\n\nVincent van Gogh
Apa nama ibukota Korea Selatan?|\n\nSeoul
Siapa penulis buku "The Great Gatsby"?|\n\nF. Scott Fitzgerald
Apa nama negara dengan jumlah penduduk terbesar di dunia?|\n\nTiongkok
Siapa ilmuwan yang mengemukakan teori relativitas?|\n\nAlbert Einstein
Apa nama ibu kota Italia?|\n\nRoma
Apa nama gurun terbesar di dunia?|\n\nGurun Sahara
Siapa penulis buku "Pride and Prejudice"?|\n\nJane Austen
Apa nama ibu kota Jepang?|\n\nTokyo
Apa nama danau terdalam di dunia?|\n\nDanau Baikal
Apa nama sungai yang melintasi kota Paris?|\n\nSungai Seine
Siapa aktor yang memerankan Iron Man di film Marvel?|\n\nRobert Downey Jr.
Apa nama mata uang resmi India?|\n\nRupee
Siapa presiden pertama Indonesia?|\n\nSoekarno
Apa nama laut yang memisahkan Eropa dan Afrika?|\n\nLaut Mediterania
Siapa penulis buku "Moby-Dick"?|\n\nHerman Melville
Apa nama negara dengan luas wilayah terbesar di dunia?|\n\nRusia
Siapa sutradara film "Inception"?|\n\nChristopher Nolan
Apa nama ibu kota Rusia?|\n\nMoskow
Siapa pendiri Tesla?|\n\nElon Musk
Apa nama bahan bakar fosil yang paling banyak digunakan di dunia?|\n\nMinyak bumi
Apa nama ibu kota Prancis?|\n\nParis
Apa nama pulau terpadat di dunia?|\n\nPulau Jawa
Apa mata uang resmi Uni Eropa?|\n\nEuro
Apa nama gunung tertinggi di Jepang?|\n\nGunung Fuji
Siapa penulis trilogi "The Lord of the Rings"?|\n\nJ.R.R. Tolkien
Apa nama lautan yang terletak di sebelah barat Amerika?|\n\nSamudra Pasifik
Siapa pelukis dari lukisan "The Persistence of Memory"?|\n\nSalvador Dali
Apa nama ibu kota Jerman?|\n\nBerlin
Apa nama negara dengan luas wilayah terkecil di dunia?|\n\nVatikan
Siapa penulis buku "Crime and Punishment"?|\n\nFyodor Dostoevsky
Apa nama ibu kota Mesir?|\n\nKairo
Apa nama danau terbesar di Afrika?|\n\nDanau Victoria
Siapa presiden Rusia saat ini?|\n\nVladimir Putin
